method,stage,metric,direction,mean,ci95_low,ci95_high,between_train_seed_sd,between_eval_seed_sd,train_seed_count,eval_seed_count,episodes_per_cell
no_residual,multi_extreme,cover_latency_p90_seconds,lower,62.545332845052094,47.061088828192815,79.22957478671603,3.3901930612728948,4.077802412401509,3,3,5
no_residual,multi_extreme,strict_response_sla_success_rate,higher,0.09177359314199177,0.04451373603899179,0.13771643572240327,0.015216182413233456,0.0286915949204507,3,3,5
no_residual,multi_extreme,active_steam_mean,lower,3.853861111111111,3.501727604166667,4.225009548611111,0.23192620946700135,0.21264931879402924,3,3,5
no_residual,multi_extreme,action_delta_mean,lower,0.02192997212703094,0.019837105331094014,0.02415842833006573,0.0020686946072938305,0.0006236065862994836,3,3,5
vanilla_lstm_ppo,multi_low,coverage_rate,higher,0.16555555555555557,0.06666666666666667,0.28555555555555556,0.09142898478742535,0.02009237924447235,3,3,5
vanilla_lstm_ppo,multi_low,cover_latency_seconds,lower,5.149074074074075,0.22333333333333336,12.369513888888882,4.829855528260479,1.926534688332861,3,3,5
vanilla_lstm_ppo,multi_low,cover_latency_p90_seconds,lower,6.817222188313802,0.2166666666666667,18.42655573357475,7.523643109249228,2.943891210525514,3,3,5
vanilla_lstm_ppo,multi_low,strict_response_sla_success_rate,higher,0.09296296296296294,0.03111111111111111,0.16666666666666666,0.009449889497905985,0.00819012755092443,3,3,5
vanilla_lstm_ppo,multi_low,active_steam_mean,lower,2.9658472222222225,2.9425347222222222,2.9856458333333333,0.010875006651764546,0.0041462695192094395,3,3,5
vanilla_lstm_ppo,multi_low,action_delta_mean,lower,4.508882839561846e-05,3.868159527289004e-05,5.291888641751598e-05,7.686329314607475e-06,9.337922293207825e-07,3,3,5
vanilla_lstm_ppo,multi_realistic,coverage_rate,higher,0.12962962962962962,0.04840873015873016,0.2344457671957671,0.06797772324430111,0.021782690300048327,3,3,5
vanilla_lstm_ppo,multi_realistic,cover_latency_seconds,lower,4.326388888888889,0.3066666666666667,11.7595347222222,3.449775030686157,2.099938289069761,3,3,5
vanilla_lstm_ppo,multi_realistic,cover_latency_p90_seconds,lower,5.188777762518989,0.4086944444444446,12.818888888888889,4.10145301085702,2.4144976214008644,3,3,5
vanilla_lstm_ppo,multi_realistic,strict_response_sla_success_rate,higher,0.060582010582010584,0.013333333333333336,0.1161904761904762,0.0065836351114531835,0.022324217932711866,3,3,5
vanilla_lstm_ppo,multi_realistic,active_steam_mean,lower,3.2376875000000003,3.0532637152777773,3.4579390624999995,0.014679430407319068,0.10441081596072023,3,3,5
vanilla_lstm_ppo,multi_realistic,action_delta_mean,lower,4.566649152846821e-05,3.935394231151969e-05,5.3075493747048864e-05,7.146579493231001e-06,7.338588762896062e-07,3,3,5
vanilla_lstm_ppo,multi_hard,coverage_rate,higher,0.08917989417989419,0.025396825396825397,0.18108465608465607,0.0496035132263574,0.03515795381755418,3,3,5
vanilla_lstm_ppo,multi_hard,cover_latency_seconds,lower,2.8916666666666675,0.044444444444444446,8.12645370370369,2.0851552773988318,3.0285121943144153,3,3,5
vanilla_lstm_ppo,multi_hard,cover_latency_p90_seconds,lower,3.728555535210504,0.07111111111111111,10.460355506049252,2.71127522516505,3.9856242203088144,3,3,5
vanilla_lstm_ppo,multi_hard,strict_response_sla_success_rate,higher,0.0446031746031746,0.007407407407407407,0.09957671957671958,0.017433601494622912,0.021303574292869294,3,3,5
vanilla_lstm_ppo,multi_hard,active_steam_mean,lower,3.6350694444444445,3.117145833333333,4.266098958333334,0.18396204971393842,0.28530338714098763,3,3,5
