main_method,other_method,stage,metric,direction,main_mean,other_mean,delta_main_minus_other,delta_ci95_low,delta_ci95_high,p_value,p_value_holm_4_stages,main_better
ours,no_residual,multi_low,action_delta_mean,lower,0.025353604773400196,0.022264428243241558,0.0030891765301586382,0.0006945380751802661,0.005958269161414485,0.007899605019749012,0.007899605019749012,False
ours,no_residual,multi_realistic,coverage_rate,higher,0.9006493850238878,0.7764603213563749,0.12418906366751292,0.03567495168647389,0.22297698243492198,0.000599970001499925,0.0023998800059997,True
ours,no_residual,multi_realistic,cover_latency_seconds,lower,16.04035205655089,23.350106204031302,-7.309754147480412,-13.263270140988388,-2.440100638818609,0.004599770011499425,0.013799310034498274,True
ours,no_residual,multi_realistic,cover_latency_p90_seconds,lower,29.69588887532552,48.834889289008245,-19.139000413682727,-35.3307752465142,-5.476300661722828,0.006499675016249188,0.019499025048747565,True
ours,no_residual,multi_realistic,strict_response_sla_success_rate,higher,0.147353240386711,0.12155073542547298,0.02580250496123801,-0.020781785408555745,0.07702342087216597,0.2312884355782211,0.9251537423128844,True
ours,no_residual,multi_realistic,active_steam_mean,lower,2.84025,3.086777777777778,-0.24652777777777768,-0.4144812500000009,-0.11249687500000011,0.00039998000099995,0.0015999200039998,True
ours,no_residual,multi_realistic,action_delta_mean,lower,0.026077045711739653,0.021162519051518922,0.004914526660220731,0.002504472727513416,0.007480850107219582,9.99950002499875e-05,0.00039998000099995,False
ours,no_residual,multi_hard,coverage_rate,higher,0.8696093499821506,0.7259950454299177,0.1436143045522329,0.03724784597704313,0.26841984414003234,0.00519974001299935,0.0103994800259987,True
ours,no_residual,multi_hard,cover_latency_seconds,lower,19.58663826266317,24.963639391740017,-5.377001129076849,-12.464774113835258,0.19409517084246508,0.0607969601519924,0.1215939203039848,True
ours,no_residual,multi_hard,cover_latency_p90_seconds,lower,38.102777845594616,51.66433320363363,-13.561555358039016,-30.280234993828667,1.4387999210357225,0.07229638518074097,0.14459277036148194,True
ours,no_residual,multi_hard,strict_response_sla_success_rate,higher,0.1272771988287098,0.11106114275787178,0.016216056070838022,-0.03589753591593423,0.07365901309112068,0.5577721113944303,1.0,True
ours,no_residual,multi_hard,active_steam_mean,lower,3.4913958333333333,3.651006944444444,-0.15961111111111093,-0.522468923611111,0.0801211805555551,0.26028698565071745,0.5205739713014349,True
ours,no_residual,multi_hard,action_delta_mean,lower,0.027697294922070542,0.02184719666633547,0.0058500982557350735,0.003741674880886902,0.008166466620812374,9.99950002499875e-05,0.00039998000099995,False
ours,no_residual,multi_extreme,coverage_rate,higher,0.8545737600631842,0.6865025334184486,0.16807122664473562,0.05093986175301011,0.28638229192058295,0.0010999450027498626,0.0032998350082495877,True
ours,no_residual,multi_extreme,cover_latency_seconds,lower,23.87839625483577,30.966841289582266,-7.088445034746496,-16.606090464183826,1.755334494085109,0.09459527023648817,0.1215939203039848,True
ours,no_residual,multi_extreme,cover_latency_p90_seconds,lower,46.012666625976564,62.545332845052094,-16.53266621907553,-35.87410978529189,3.5924163699679843,0.08679566021698915,0.14459277036148194,True
ours,no_residual,multi_extreme,strict_response_sla_success_rate,higher,0.10308932677866292,0.09177359314199177,0.011315733636671155,-0.04147359350438219,0.0651710449217785,0.6709664516774161,1.0,True
ours,no_residual,multi_extreme,active_steam_mean,lower,3.806645833333334,3.853861111111111,-0.04721527777777723,-0.45737847222222167,0.40018107638888817,0.7940602969851508,0.7940602969851508,True
ours,no_residual,multi_extreme,action_delta_mean,lower,0.028921679583132534,0.02192997212703094,0.006991707456101594,0.004180492159913385,0.009826510944351462,9.99950002499875e-05,0.00039998000099995,False
ours,vanilla_lstm_ppo,multi_low,coverage_rate,higher,0.9171764399394717,0.16555555555555557,0.7516208843839162,0.6331158968293258,0.8535599258921455,9.99950002499875e-05,0.00039998000099995,True
ours,vanilla_lstm_ppo,multi_low,cover_latency_seconds,lower,12.535319995503887,5.149074074074075,7.386245921429812,0.48756782666978005,12.656415952431576,0.03959802009899505,0.03959802009899505,False
ours,vanilla_lstm_ppo,multi_low,cover_latency_p90_seconds,lower,24.147111138237843,6.817222188313802,17.32988894992404,6.676217247009277,25.126688858879938,0.005399730013499325,0.005399730013499325,False
ours,vanilla_lstm_ppo,multi_low,strict_response_sla_success_rate,higher,0.18145700227057324,0.09296296296296294,0.0884940393076103,0.006334853836843665,0.16058471042919176,0.03629818509074546,0.05339733013349333,True
ours,vanilla_lstm_ppo,multi_low,active_steam_mean,lower,2.2980625,2.9658472222222225,-0.6677847222222226,-0.7250706597222216,-0.6159369791666669,9.99950002499875e-05,0.00039998000099995,True
ours,vanilla_lstm_ppo,multi_low,action_delta_mean,lower,0.025353604773400196,4.508882839561846e-05,0.025308515945004578,0.023991488307608173,0.026723936974607856,9.99950002499875e-05,0.00039998000099995,False
ours,vanilla_lstm_ppo,multi_realistic,coverage_rate,higher,0.9006493850238878,0.12962962962962962,0.7710197553942582,0.6738823817082465,0.8437376295231659,9.99950002499875e-05,0.00039998000099995,True
ours,vanilla_lstm_ppo,multi_realistic,cover_latency_seconds,lower,16.04035205655089,4.326388888888889,11.713963167662001,4.2515778180104515,15.825107292466662,0.011699415029248537,0.023398830058497074,False
ours,vanilla_lstm_ppo,multi_realistic,cover_latency_p90_seconds,lower,29.69588887532552,5.188777762518989,24.50711111280653,16.937774908701577,29.472058217366534,9.99950002499875e-05,0.00039998000099995,False
ours,vanilla_lstm_ppo,multi_realistic,strict_response_sla_success_rate,higher,0.147353240386711,0.060582010582010584,0.08677122980470041,0.027051166607221885,0.14749760440822882,0.0034998250087495625,0.010499475026248688,True
ours,vanilla_lstm_ppo,multi_realistic,active_steam_mean,lower,2.84025,3.2376875000000003,-0.3974375000000001,-0.6329328124999993,-0.20357274305555648,9.99950002499875e-05,0.00039998000099995,True
ours,vanilla_lstm_ppo,multi_realistic,action_delta_mean,lower,0.026077045711739653,4.566649152846821e-05,0.026031379220211186,0.025094554936191216,0.02718713756178345,9.99950002499875e-05,0.00039998000099995,False
ours,vanilla_lstm_ppo,multi_hard,coverage_rate,higher,0.8696093499821506,0.08917989417989419,0.7804294558022564,0.6904706770489812,0.8458324158977769,9.99950002499875e-05,0.00039998000099995,True
ours,vanilla_lstm_ppo,multi_hard,cover_latency_seconds,lower,19.58663826266317,2.8916666666666675,16.6949715959965,10.942018886815559,21.217696726405443,9.99950002499875e-05,0.00039998000099995,False
ours,vanilla_lstm_ppo,multi_hard,cover_latency_p90_seconds,lower,38.102777845594616,3.728555535210504,34.37422231038411,24.995377850002715,43.10759409586589,9.99950002499875e-05,0.00039998000099995,False
ours,vanilla_lstm_ppo,multi_hard,strict_response_sla_success_rate,higher,0.1272771988287098,0.0446031746031746,0.0826740242255352,0.012699845696875317,0.13918108289140096,0.026698665066746664,0.05339733013349333,True
ours,vanilla_lstm_ppo,multi_hard,active_steam_mean,lower,3.4913958333333333,3.6350694444444445,-0.1436736111111112,-0.785861631944444,0.4023376736111104,0.6774661266936653,0.6774661266936653,True
ours,vanilla_lstm_ppo,multi_hard,action_delta_mean,lower,0.027697294922070542,4.781486895107022e-05,0.02764948005311947,0.026436113641728414,0.028873208326825942,9.99950002499875e-05,0.00039998000099995,False
ours,vanilla_lstm_ppo,multi_extreme,coverage_rate,higher,0.8545737600631842,0.06071428571428571,0.7938594743488985,0.7302262886467463,0.8549148054335508,9.99950002499875e-05,0.00039998000099995,True
ours,vanilla_lstm_ppo,multi_extreme,cover_latency_seconds,lower,23.87839625483577,3.353333333333334,20.525062921502435,13.65636594823638,26.069165654592187,9.99950002499875e-05,0.00039998000099995,False
ours,vanilla_lstm_ppo,multi_extreme,cover_latency_p90_seconds,lower,46.012666625976564,4.106222195095486,41.90644443088108,31.002711148579913,54.48805784352621,9.99950002499875e-05,0.00039998000099995,False
ours,vanilla_lstm_ppo,multi_extreme,strict_response_sla_success_rate,higher,0.10308932677866292,0.02433862433862434,0.07875070244003858,0.0385645910865406,0.11589403984778922,0.000999950002499875,0.0039998000099995,True
ours,vanilla_lstm_ppo,multi_extreme,active_steam_mean,lower,3.806645833333334,3.4981041666666663,0.3085416666666676,-0.2640251736111113,0.7900625000000003,0.2633868306584671,0.5267736613169341,False
ours,vanilla_lstm_ppo,multi_extreme,action_delta_mean,lower,0.028921679583132534,4.657092626866048e-05,0.028875108656863872,0.026729265475548658,0.03164433528910108,9.99950002499875e-05,0.00039998000099995,False
ours,no_attention,multi_low,coverage_rate,higher,0.9171764399394717,0.9212326178950879,-0.004056177955616191,-0.02158538248537491,0.013496969505254064,0.6166691665416729,1.0,False
ours,no_attention,multi_low,cover_latency_seconds,lower,12.535319995503887,12.680217374511077,-0.14489737900719035,-1.1981144366169725,0.8617482687711617,0.792360381980901,1.0,True
ours,no_attention,multi_low,cover_latency_p90_seconds,lower,24.147111138237843,24.49277770996094,-0.3456665717230969,-3.452166453043617,2.697894353230795,0.8195590220488975,1.0,True
